lot_number,condition,damage,mileage,price,day,month,year
35683536,Run and Drive,Left Front,24587 miles (Actual),27075,01,02,2023
35439846,Stationary,Rear,4217 miles (Actual),12025,01,02,2023
68630992,Engine Start Program,Front End,16694 miles (Actual),10300,31,01,2023
67563052,Run And Drive,Side,295 miles (Actual),27750,31,01,2023
35741481,Run and Drive,Rear,34932 miles (Actual),11125,31,01,2023
35402751,Starts,Front End,340 miles (Actual),10675,31,01,2023
70788132,Run And Drive,Front End,3140 miles (Actual),7100,30,01,2023
56487611,Enhanced Vehicles,Front End,7829 miles (Actual),6600,30,01,2023
35549431,Stationary,Flood,32365 miles (Not Actual),13625,29,01,2023
70613362,Engine Start Program,Front End,10871 mile (Actual),9300,27,01,2023
61058492,Run And Drive,Front End,4013 miles (Actual),22700,26,01,2023
69486702,Run And Drive,Front End,13237 miles (Actual),8700,26,01,2023
36927073,Run And Drive,Water/Flood,2072 miles (Not Actual),13900,26,01,2023
35382161,Run and Drive,Right Front,25904 miles (Actual),15650,26,01,2023
36462183,Run And Drive,Front End,7151 mile (Actual),16100,24,01,2023
35325740,Starts,Front and Rear,23099 miles (Actual),12125,23,01,2023
35382161,Run and Drive,Right Front,25904 miles (Actual),13200,23,01,2023
70613362,Engine Start Program,Front End,10871 mile (Actual),11800,20,01,2023
72495522,Run And Drive,Front End,3921 mile (Actual),9500,19,01,2023
71606892,Run And Drive,Front End,37482 miles (Actual),7800,19,01,2023
69581862,Run And Drive,Side,19310 miles (Not Actual),15500,19,01,2023
66324342,Engine Start Program,Front End,22676 miles (Actual),10000,19,01,2023
63585542,Run And Drive,Front End,16933 miles (Actual),10600,19,01,2023
61745212,Run And Drive,Side,21466 miles (Actual),22400,19,01,2023
53725992,Enhanced Vehicles,Front End,0 miles (Not Actual),8300,18,01,2023
35511448,Run and Drive,Front End,14136 miles (Actual),10175,18,01,2023
35325740,Starts,Front and Rear,23099 miles (Actual),10950,17,01,2023
35097898,Stationary,Left Side,1 mile (Inoperable Digital Dash),10525,17,01,2023
34767750,Run and Drive,Front End,3404 miles (Actual),11500,17,01,2023
34398746,Run and Drive,Front and Rear,2708 miles (Actual),13225,17,01,2023
68864612,Run And Drive,Rear End,25385 miles (Actual),16100,16,01,2023
65136672,Run And Drive,Side,18098 miles (Actual),12600,13,01,2023
66571562,Run And Drive,Front End,14343 miles (Actual),17000,12,01,2023
35095090,Run and Drive,Rear,8359 miles (Actual),17125,12,01,2023
72216582,Run And Drive,Front End,7962 miles (Actual),9100,10,01,2023
70049962,Run And Drive,Side,1532 miles (Actual),17400,11,01,2023
45657022,Unknown,Rear End,3954 miles (Actual),23800,11,01,2023
35511448,Run and Drive,Front End,14136 miles (Actual),7625,11,01,2023
67541222,Unknown,Front End,0 miles (Not Actual),3900,09,01,2023
66161812,Engine Start Program,Front End,16890 miles (Actual),10600,10,01,2023
