,vehicles,avg_price,lot_number,date_of_sale,year,vin,condition,engine,mileage,documents,location,primary_damage,secondary_damage,estimated_retail_value,estimated_repair_cost,transmission,body_color,drive,fuel,keys,notes,seller,price,market
0,224,$2288,37000783,08.02.2023,2013,WVWFV7AJ6DW005511,Run And Drive,2.0L 4,129887 miles (Actual),Ma - Certificate Of Title,Ma - West Warren,Mechanical,Minor Dent/Scratches,0,0,Automatic,Gray,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,2300, Copart 
1,164,$4953,35950623,08.02.2023,2017,3VW447AU7HM064669,Run And Drive,2 L 4,78822 miles (Actual),Ca - Salvage Certificate,Ca - Martinez,Front End,Not specified,21573,11872,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,5800, Copart 
2,36,$7442,72154222,07.02.2023,2020,3VW5T7AU0LM003406,Run And Drive,2.0L 4,38108 miles (Actual),Nj - Cert Of Title-Salvage,Nj - Somerville,Front End,Rear End,31212,16851,Manual,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,11400, Copart 
3,164,$4953,65162572,06.02.2023,2017,3VW447AU0HM051049,Engine Start Program,2 L 4,41499 miles (Actual),Il - Salvage Certificate,Il - Wheeling,Front End,Side,25900,21746,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,5200, Copart 
4,164,$4953,72276762,02.02.2023,2017,3VW4T7AU2HM062928,Enhanced Vehicles,2 L 4,68244 miles (Actual),Ga - Cert Of Title-Salvage,Ga - Macon,Front End,Not specified,21408,21408,Automatic,Two Tone,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,6400, Copart 
5,164,$4953,70261142,02.02.2023,2017,3VW5T7AUXHM034721,Run And Drive,2 L 4,64619 miles (Actual),Tx - Salvage Vehicle Title,Tx - Dallas,Front End,Not specified,19861,19341,Manual,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,3150, Copart 
6,164,$4953,68223942,01.02.2023,2017,3VW547AU9HM036036,Run And Drive,2 L 4,62641 mile (Actual),Ma - Cert Of Title-Salvage,Ma - West Warren,Water/Flood,Front End,20702,17615,Manual,Gray,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,2800, Copart 
7,164,$4953,51849261,31.01.2023,2017,3VW5T7AU5HM027417,Run And Drive,2 L 4,77504 miles (Actual),Mo - Salvage Certificate Of Title,Mo - St. Louis,Rear End,Not specified,19176,13932,Manual,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,5000, Copart 
8,164,$4953,36040243,01.02.2023,2017,3VW4T7AU7HM062164,Engine Start Program,2 L 4,29295 miles (Actual),Fl - Certificate Of Destruction,Fl - Miami South,Front End,Mechanical,21619,21619,Automatic,Gray,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,6100, Copart 
9,36,$7442,69183152,31.01.2023,2020,3VW6T7AU6LM011725,Run And Drive,2.0L 4,11416 miles (Actual),Ca - Salvage Certificate,Ct - Hartford,Front End,Minor Dent/Scratches,31090,21755,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,12100, Copart 
10,164,$4953,68073622,31.01.2023,2017,3VW5T7AU2HM067390,Engine Start Program,2 L 4,67277 miles (Actual),Nc - Salvage Certificate Of Title,Nc - Raleigh,Front End,Not specified,18653,18653,Manual,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,2550, Copart 
11,164,$4953,66036472,31.01.2023,2017,3VW4T7AU3HM025788,Run And Drive,2 L 4,59589 miles (Actual),Co - Public - Salvage Title,Co - Denver Central,Front End,Not specified,22582,14433,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,4800, Copart 
12,36,$7442,63640092,31.01.2023,2020,3VW6T7AU9LM010469,Run And Drive,2.0L 4,34155 miles (Actual),Ca - Salvage Certificate,Ca - Adelanto,Minor Dent/Scratches,Not specified,29318,1374,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,11500, Copart 
13,164,$4953,68786202,30.01.2023,2017,3VW447AU4HM071000,Enhanced Vehicles,2 L 4,0 miles (Not Actual),Nc - Salvage Certificate Of Title,Nc - Lumberton,Rollover,Not specified,23886,19539,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,525, Copart 
14,68,$6597,67289192,30.01.2023,2018,3VW447AUXJM265200,Run And Drive,2 L 4,30492 miles (Actual),Ca - Salvage Certificate,Ca - So Sacramento,Rear End,Minor Dent/Scratches,30251,0,Automatic,Gray,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,12500, Copart 
15,68,$6597,61368892,30.01.2023,2018,3VW547AU2JM282285,Enhanced Vehicles,2 L 4,71256 miles (Actual),Az - Cert Of Title - Salvage,Az - Phoenix,Front End,Not specified,23059,17571,Manual,Charcoal,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,3000, Copart 
16,36,$7442,73140642,27.01.2023,2020,3VW5T7AUXLM000819,Run And Drive,2.0L 4,18405 miles (Actual),Pa - Certificate Of Salvage,Pa - Philadelphia,Minor Dent/Scratches,Not specified,27089,0,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,8900, Copart 
17,164,$4953,73369772,26.01.2023,2017,3VW447AU1HM016102,Engine Start Program,2 L 4,76675 miles (Actual),Ca - Salvage Certificate,Ca - Fresno,Front End,Undercarriage,20937,20937,Automatic,Gray,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,1150, Copart 
18,164,$4953,72185972,26.01.2023,2017,3VW547AU5HM008363,Run And Drive,2 L 4,143759 miles (Actual),Ny - Mv-907A Salvage Certificate,Ny - Newburgh,Side,Not specified,0,15645,Manual,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,3200, Copart 
19,164,$4953,37939813,26.01.2023,2017,3VW447AU0HM056137,Run And Drive,2 L 4,58565 miles (Actual),Pa - Certificate Of Salvage,Pa - York Haven,Front End,Not specified,21687,18005,Automatic,Charcoal,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,6600, Copart 
20,51,$7098,73506952,25.01.2023,2019,3VW6T7AU8KM036172,Enhanced Vehicles,2.0L 4,0 miles (Not Actual),Nh - Certificate Of Title,Ma - North Boston,Front End,Frame Damage,0,0,Automatic,Silver,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,650, Copart 
21,164,$4953,70077032,24.01.2023,2017,3VW5T7AU2HM031702,Engine Start Program,2 L 4,64857 miles (Actual),Va - Cert Of Title - Salvage,Va - Hampton,Front End,Mechanical,19528,14963,Manual,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,4350, Copart 
22,68,$6597,72948432,24.01.2023,2018,3VW447AU8JM288071,Run And Drive,2 L 4,59395 miles (Actual),Mn - Cert Of Title-Salvage,Mn - Minneapolis North,Rear End,Not specified,25391,16551,Automatic,Red,Front-Wheel Drive,Gas,Yes,Veh Loc @ Bunker Sublot, Not specified,7500, Copart 
